Discord Name,Discord ID,Activity Month,Chat Count,Broadcast Count,Total Activity,Seen Ranks
Defqonlord,670886780341452800,2025-11,72,39,111,Elite
Defqonlord,670886780341452800,2025-12,192,29,221,Elite
beefandqweef | IM Qweefy,671184214284173342,2025-06,14,16,30,Diamond
beefandqweef | IM Qweefy,671184214284173342,2025-07,7,19,26,Diamond
beefandqweef | IM Qweefy,671184214284173342,2025-08,13,13,26,"Diamond, Dragonstone"
beefandqweef | IM Qweefy,671184214284173342,2025-09,7,2,9,Dragonstone
beefandqweef | IM Qweefy,671184214284173342,2026-02,0,2,2,None
melways,673818846498390022,2025-10,9,5,14,Sapphire
melways,673818846498390022,2025-11,20,18,38,Sapphire
melways,673818846498390022,2025-12,13,31,44,Emerald
melways,673818846498390022,2026-01,9,13,22,Emerald
melways,673818846498390022,2026-03,1,3,4,Emerald
Haydxn,676316739121709056,2026-01,67,50,117,Sapphire
Haydxn,676316739121709056,2026-02,55,50,105,"Emerald, Sapphire"
Haydxn,676316739121709056,2026-03,5,22,27,Emerald
Tormented,680410766611841167,2025-12,34,10,44,Sapphire
Tormented,680410766611841167,2026-01,523,137,660,Sapphire
Tormented,680410766611841167,2026-02,117,16,133,Sapphire
Tormented,680410766611841167,2026-03,1,0,1,Sapphire
Knvsy,692347803153989672,2026-02,221,39,260,"Helper, Sapphire"
Knvsy,692347803153989672,2026-03,41,29,70,Sapphire
Knvsy,692347803153989672,2026-04,1,2,3,Sapphire
Thisforgrin,693989640767668336,2025-06,6,7,13,Sapphire
Thisforgrin,693989640767668336,2025-07,64,51,115,Sapphire
Thisforgrin,693989640767668336,2025-08,38,62,100,"Emerald, Sapphire"
Thisforgrin,693989640767668336,2025-09,49,28,77,Emerald
Thisforgrin,693989640767668336,2025-10,20,20,40,Emerald
Thisforgrin,693989640767668336,2025-11,49,16,65,Ruby
Thisforgrin,693989640767668336,2025-12,6,16,22,Ruby
Thisforgrin,693989640767668336,2026-01,53,46,99,"Diamond, Ruby"
Thisforgrin,693989640767668336,2026-02,26,26,52,Diamond
Thisforgrin,693989640767668336,2026-03,39,33,72,Diamond
Thisforgrin,693989640767668336,2026-04,8,9,17,Diamond
Boarder69,695183003764392039,2026-02,3,34,37,Sapphire
Boarder69,695183003764392039,2026-03,47,99,146,Sapphire
Boarder69,695183003764392039,2026-04,5,2,7,Sapphire
698376687989162056,698376687989162056,2025-11,589,26,615,"Guest, Sapphire"
698376687989162056,698376687989162056,2025-12,96,16,112,"Emerald, Sapphire"
Xylocky,698438678346727434,2026-02,14,27,41,Sapphire
Xylocky,698438678346727434,2026-03,7,47,54,Sapphire
Xylocky,698438678346727434,2026-04,5,9,14,Sapphire
IronYakka,702059345990647848,2026-03,63,57,120,Sapphire
IronYakka,702059345990647848,2026-04,1,8,9,Sapphire
Mr Dallo,703019688464089180,2025-06,7,6,13,Emerald
Mr Dallo,703019688464089180,2025-07,520,70,590,Emerald
Mr Dallo,703019688464089180,2025-08,308,56,364,Emerald
Mr Dallo,703019688464089180,2025-09,75,2,77,Emerald
Mr Dallo,703019688464089180,2025-10,261,30,291,"Emerald, Guest"
Mr Dallo,703019688464089180,2025-11,60,2,62,Emerald
Mr Dallo,703019688464089180,2026-01,246,17,263,Emerald
Mr Dallo,703019688464089180,2026-02,126,2,128,Emerald
bundyyyyy,703428586714955849,2025-06,5,1,6,Emerald
bundyyyyy,703428586714955849,2025-07,8,4,12,Emerald
bundyyyyy,703428586714955849,2026-03,196,23,219,Ruby
bundyyyyy,703428586714955849,2026-04,40,5,45,Ruby
B 0 N D S,703595554478882907,2025-06,240,71,311,Ruby
B 0 N D S,703595554478882907,2025-07,504,170,674,Ruby
B 0 N D S,703595554478882907,2025-08,266,40,306,Ruby
B 0 N D S,703595554478882907,2025-09,42,17,59,Ruby
B 0 N D S,703595554478882907,2025-10,9,8,17,Ruby
B 0 N D S,703595554478882907,2025-11,65,46,111,Ruby
B 0 N D S,703595554478882907,2025-12,101,32,133,Ruby
B 0 N D S,703595554478882907,2026-01,511,110,621,"Guest, Ruby"
B 0 N D S,703595554478882907,2026-02,44,27,71,"Diamond, Ruby"
B 0 N D S,703595554478882907,2026-03,78,13,91,Diamond
B 0 N D S,703595554478882907,2026-04,7,3,10,Diamond
eMiSk,705355990542844034,2025-06,24,7,31,Onyx
eMiSk,705355990542844034,2025-07,8,9,17,Onyx
eMiSk,705355990542844034,2025-08,3,6,9,Onyx
eMiSk,705355990542844034,2025-09,2,1,3,Onyx
Daikin,711863702533570561,2026-02,7,4,11,Sapphire
Daikin,711863702533570561,2026-03,157,68,225,Sapphire
Daikin,711863702533570561,2026-04,29,5,34,Sapphire
BiIboBongins,713966590311530556,2025-06,192,25,217,Onyx
BiIboBongins,713966590311530556,2025-07,348,53,401,Onyx
BiIboBongins,713966590311530556,2025-08,384,49,433,Onyx
BiIboBongins,713966590311530556,2025-09,294,50,344,Onyx
BiIboBongins,713966590311530556,2025-10,437,10,447,Onyx
BiIboBongins,713966590311530556,2025-11,222,30,252,Onyx
BiIboBongins,713966590311530556,2025-12,124,9,133,Onyx
BiIboBongins,713966590311530556,2026-01,159,78,237,Onyx
BiIboBongins,713966590311530556,2026-02,268,68,336,Onyx
BiIboBongins,713966590311530556,2026-03,318,39,357,"Helper, Onyx"
BiIboBongins,713966590311530556,2026-04,20,2,22,Onyx
b lackwell,714039246469595177,2026-01,25,13,38,Sapphire
b lackwell,714039246469595177,2026-02,289,100,389,"Emerald, General, Sapphire"
b lackwell,714039246469595177,2026-03,615,130,745,"Emerald, General, Helper, Racer"
b lackwell,714039246469595177,2026-04,85,24,109,Racer
TheRealBoxjr,717952197287215177,2026-01,0,61,61,None
TheRealBoxjr,717952197287215177,2026-02,1231,186,1417,"Emerald, Sapphire"
TheRealBoxjr,717952197287215177,2026-03,1375,92,1467,Emerald
TheRealBoxjr,717952197287215177,2026-04,266,17,283,Emerald
Rainq,721679503117778965,2025-06,108,82,190,Diamond
Rainq,721679503117778965,2025-07,32,18,50,Diamond
Rainq,721679503117778965,2025-08,155,87,242,"Diamond, Guest"
Rainq,721679503117778965,2025-09,245,151,396,Diamond
Rainq,721679503117778965,2025-10,305,57,362,Diamond
Rainq,721679503117778965,2025-11,82,26,108,Diamond
Rainq,721679503117778965,2025-12,7,3,10,Diamond
Rainq,721679503117778965,2026-01,0,4,4,None
Rainq,721679503117778965,2026-02,10,1,11,Diamond
Rainq,721679503117778965,2026-03,104,72,176,Diamond
Rainq,721679503117778965,2026-04,33,16,49,"Diamond, Guest"
Anya,728615641245941770,2025-06,477,12,489,Ruby
Anya,728615641245941770,2025-07,394,28,422,Ruby
Anya,728615641245941770,2025-08,884,109,993,"Diamond, Ruby"
Anya,728615641245941770,2025-09,452,45,497,"Diamond, Proselyte, Racer"
Anya,728615641245941770,2025-10,469,25,494,Proselyte
Anya,728615641245941770,2025-11,504,42,546,Proselyte
Anya,728615641245941770,2025-12,409,25,434,Proselyte
Anya,728615641245941770,2026-01,705,95,800,"Guest, Helper, Proselyte"
Anya,728615641245941770,2026-02,222,51,273,Proselyte
Anya,728615641245941770,2026-03,252,5,257,Proselyte
Anya,728615641245941770,2026-04,20,2,22,"Helper, Proselyte"
Ironmandarb,731298347364646944,2026-01,64,86,150,"Guest, Sapphire"
Ironmandarb,731298347364646944,2026-02,15,7,22,Sapphire
Ironmandarb,731298347364646944,2026-03,4,7,11,Sapphire
Ironmandarb,731298347364646944,2026-04,0,1,1,None
RaR,734928011782127676,2025-06,316,19,335,Master
RaR,734928011782127676,2025-07,678,27,705,Master
RaR,734928011782127676,2025-08,1121,53,1174,Master
RaR,734928011782127676,2025-09,396,24,420,Master
RaR,734928011782127676,2025-10,442,4,446,Master
RaR,734928011782127676,2025-11,819,50,869,Master
RaR,734928011782127676,2025-12,1429,48,1477,Master
RaR,734928011782127676,2026-01,779,22,801,Master
RaR,734928011782127676,2026-02,523,2,525,Master
RaR,734928011782127676,2026-03,450,9,459,Master
RaR,734928011782127676,2026-04,59,5,64,"Helper, Master"
GE Brendo,736077495295672411,2025-06,11,7,18,Ruby
GE Brendo,736077495295672411,2025-07,18,30,48,Ruby
GE Brendo,736077495295672411,2025-08,85,34,119,Ruby
GE Brendo,736077495295672411,2025-09,28,17,45,Ruby
GE Brendo,736077495295672411,2025-10,14,0,14,Ruby
GE Brendo,736077495295672411,2025-11,127,102,229,Ruby
GE Brendo,736077495295672411,2026-02,2,7,9,Ruby
GE Brendo,736077495295672411,2026-03,22,12,34,Ruby
GE Brendo,736077495295672411,2026-04,24,16,40,Ruby
Sqyra,737652282786840627,2025-06,71,31,102,Emerald
Sqyra,737652282786840627,2025-07,44,53,97,Emerald
Sqyra,737652282786840627,2025-08,221,70,291,"Emerald, Ruby"
Sqyra,737652282786840627,2025-09,75,31,106,Ruby
Sqyra,737652282786840627,2025-10,7,3,10,Ruby
Sqyra,737652282786840627,2025-11,10,23,33,Ruby
Sqyra,737652282786840627,2025-12,7,1,8,Ruby
Sqyra,737652282786840627,2026-01,24,17,41,"Diamond, Ruby"
Sqyra,737652282786840627,2026-02,73,29,102,Diamond
Sqyra,737652282786840627,2026-03,23,22,45,Diamond
Greeny,738744922341113879,2025-09,0,1,1,None
Greeny,738744922341113879,2025-10,69,25,94,Sapphire
Greeny,738744922341113879,2025-11,21,15,36,Sapphire
Greeny,738744922341113879,2025-12,9,8,17,Sapphire
Greeny,738744922341113879,2026-01,22,19,41,Sapphire
Greeny,738744922341113879,2026-02,36,15,51,Sapphire
Greeny,738744922341113879,2026-03,3,2,5,Sapphire
Greeny,738744922341113879,2026-04,1,2,3,Sapphire
uwu kisses,740742700193546350,2025-06,40,6,46,Onyx
uwu kisses,740742700193546350,2025-07,157,14,171,"Guest, Onyx"
uwu kisses,740742700193546350,2025-09,762,38,800,"Guest, Onyx, Zenyte"
uwu kisses,740742700193546350,2025-10,2931,64,2995,Zenyte
uwu kisses,740742700193546350,2025-11,3528,51,3579,"General, Guest, Major, Racer, Zenyte"
uwu kisses,740742700193546350,2025-12,2747,72,2819,"Guest, Racer, Zenyte"
uwu kisses,740742700193546350,2026-01,3849,147,3996,"Guest, Helper, Zenyte"
uwu kisses,740742700193546350,2026-02,3142,28,3170,"Guest, Helper, Zenyte"
uwu kisses,740742700193546350,2026-03,2273,97,2370,"General, Guest, Helper, Zenyte"
Sliprygypsy | Coast Ale,752123740917071892,2025-09,4,6,10,Ruby
Sliprygypsy | Coast Ale,752123740917071892,2025-10,2,1,3,Ruby
Sliprygypsy | Coast Ale,752123740917071892,2025-11,21,13,34,Ruby
Sliprygypsy | Coast Ale,752123740917071892,2025-12,33,45,78,Ruby
Sliprygypsy | Coast Ale,752123740917071892,2026-01,59,31,90,Ruby
Sliprygypsy | Coast Ale,752123740917071892,2026-02,0,4,4,None
xelale,75836153315471360,2025-10,21,5,26,Sapphire
xelale,75836153315471360,2025-11,101,113,214,Sapphire
xelale,75836153315471360,2025-12,96,107,203,Sapphire
xelale,75836153315471360,2026-01,54,55,109,"Emerald, Sapphire"
xelale,75836153315471360,2026-02,23,54,77,"Emerald, Ruby"
xelale,75836153315471360,2026-03,26,48,74,Ruby
xelale,75836153315471360,2026-04,33,26,59,Ruby
brassbell,759720755478003743,2026-03,193,16,209,Sapphire
NotUfoboy,763702998811410446,2025-06,10,11,21,Emerald
NotUfoboy,763702998811410446,2025-07,8,10,18,"Emerald, Ruby"
NotUfoboy,763702998811410446,2025-08,51,58,109,Ruby
NotUfoboy,763702998811410446,2025-09,16,24,40,Ruby
NotUfoboy,763702998811410446,2025-10,32,29,61,Ruby
NotUfoboy,763702998811410446,2025-11,21,26,47,Ruby
NotUfoboy,763702998811410446,2025-12,7,9,16,Ruby
NotUfoboy,763702998811410446,2026-01,30,23,53,Ruby
NotUfoboy,763702998811410446,2026-02,62,65,127,Ruby
NotUfoboy,763702998811410446,2026-03,1,12,13,Ruby
2tick spliff,764165693133946901,2026-02,377,86,463,"Emerald, Guest, Helper"
2tick spliff,764165693133946901,2026-03,925,117,1042,"Emerald, Guest, Helper"
2tick spliff,764165693133946901,2026-04,278,18,296,"Emerald, Helper"
Fel man,76634069797961728,2025-11,154,49,203,"Guest, Sapphire"
Fel man,76634069797961728,2025-12,34,17,51,Sapphire
Fel man,76634069797961728,2026-01,0,2,2,None
Fel man,76634069797961728,2026-02,336,87,423,Sapphire
Fel man,76634069797961728,2026-03,154,76,230,Sapphire
Fel man,76634069797961728,2026-04,21,15,36,Sapphire
535 - Chris,766921373066067988,2025-06,38,44,82,Dragonstone
535 - Chris,766921373066067988,2025-07,51,35,86,Dragonstone
535 - Chris,766921373066067988,2025-08,252,84,336,Dragonstone
535 - Chris,766921373066067988,2025-09,75,15,90,Dragonstone
535 - Chris,766921373066067988,2025-10,60,11,71,"Dragonstone, Elite, Racer"
535 - Chris,766921373066067988,2025-11,58,21,79,"Dragonstone, Onyx"
535 - Chris,766921373066067988,2025-12,95,22,117,Onyx
535 - Chris,766921373066067988,2026-03,593,57,650,"Helper, Onyx, Proselyte"
535 - Chris,766921373066067988,2026-04,75,7,82,Proselyte
769788234749968396,769788234749968396,2026-03,55,13,68,Sapphire
Vonnah,773442323299958784,2025-06,40,39,79,Dragonstone
Vonnah,773442323299958784,2025-07,129,61,190,Dragonstone
Vonnah,773442323299958784,2025-08,304,75,379,Dragonstone
Vonnah,773442323299958784,2025-09,23,15,38,Dragonstone
Vonnah,773442323299958784,2025-10,5,1,6,Onyx
Vonnah,773442323299958784,2025-11,60,18,78,Onyx
Vonnah,773442323299958784,2025-12,177,99,276,Onyx
Vonnah,773442323299958784,2026-01,98,73,171,Onyx
Vonnah,773442323299958784,2026-02,3,4,7,Onyx
Vonnah,773442323299958784,2026-03,27,23,50,Onyx
Irontolove,778683372490588211,2025-06,4,6,10,Ruby
Irontolove,778683372490588211,2025-07,41,53,94,Ruby
Irontolove,778683372490588211,2025-08,45,62,107,Ruby
Irontolove,778683372490588211,2025-09,54,37,91,"Diamond, Ruby"
Irontolove,778683372490588211,2025-10,37,61,98,Diamond
Irontolove,778683372490588211,2025-11,0,1,1,None
jatz,778757235463028736,2025-06,47,0,47,Dragonstone
jatz,778757235463028736,2025-07,436,48,484,Dragonstone
jatz,778757235463028736,2025-08,312,34,346,Dragonstone
jatz,778757235463028736,2025-09,176,38,214,"Dragonstone, Onyx"
jatz,778757235463028736,2025-10,434,62,496,"Guest, Onyx"
jatz,778757235463028736,2025-11,288,44,332,Onyx
jatz,778757235463028736,2025-12,372,57,429,Onyx
jatz,778757235463028736,2026-01,633,57,690,Onyx
jatz,778757235463028736,2026-02,189,40,229,Onyx
jatz,778757235463028736,2026-03,289,21,310,Onyx
jatz,778757235463028736,2026-04,52,6,58,"Helper, Onyx"
WhyFletchh,784676917218770965,2025-06,54,45,99,Emerald
WhyFletchh,784676917218770965,2025-07,60,79,139,"Emerald, Ruby"
WhyFletchh,784676917218770965,2025-08,63,78,141,Ruby
WhyFletchh,784676917218770965,2025-09,33,29,62,"General, Ruby"
WhyFletchh,784676917218770965,2025-11,13,2,15,Ruby
WhyFletchh,784676917218770965,2025-12,1,0,1,Ruby
FeAcedOsrs,791258191937142794,2025-12,58,88,146,Sapphire
FeAcedOsrs,791258191937142794,2026-01,40,13,53,Sapphire
FeAcedOsrs,791258191937142794,2026-02,0,12,12,None
Kekez,793135181431177216,2025-06,37,17,54,Sapphire
Kekez,793135181431177216,2025-07,58,94,152,"Emerald, Sapphire"
Kekez,793135181431177216,2025-08,55,47,102,Emerald
Kekez,793135181431177216,2025-09,33,35,68,"Emerald, Ruby"
Kekez,793135181431177216,2025-10,19,29,48,Ruby
Kekez,793135181431177216,2026-01,0,1,1,None
Fifnar,795175846071500880,2025-06,80,29,109,Diamond
Fifnar,795175846071500880,2025-07,112,66,178,Diamond
Fifnar,795175846071500880,2025-08,34,59,93,Diamond
Fifnar,795175846071500880,2025-09,46,75,121,"Diamond, Dragonstone"
Fifnar,795175846071500880,2025-10,14,41,55,Dragonstone
Fifnar,795175846071500880,2025-11,11,13,24,Dragonstone
GFDI,796019722541334529,2026-01,107,40,147,"Helper, Sapphire"
GFDI,796019722541334529,2026-02,21,12,33,Sapphire
GFDI,796019722541334529,2026-03,6,8,14,Sapphire
Srka,798482924634243072,2025-06,506,12,518,Zenyte
Srka,798482924634243072,2025-07,717,50,767,"Emerald, Zenyte"
Srka,798482924634243072,2025-08,1258,51,1309,"Racer, Zenyte"
Srka,798482924634243072,2025-09,1349,42,1391,"Diamond, Dragonstone, Emerald, Onyx, Ruby, Zenyte"
Srka,798482924634243072,2025-10,817,17,834,"Onyx, Zenyte"
Srka,798482924634243072,2025-11,517,17,534,Zenyte
Srka,798482924634243072,2025-12,370,3,373,Zenyte
Srka,798482924634243072,2026-01,1642,24,1666,"Emerald, Guest, Helper, Zenyte"
Srka,798482924634243072,2026-02,2125,39,2164,"Emerald, Zenyte"
Srka,798482924634243072,2026-03,1583,37,1620,"Helper, Zenyte"
Srka,798482924634243072,2026-04,103,4,107,"Helper, Zenyte"
OutOnTheFull,819090410701586482,2026-01,16,6,22,Sapphire
OutOnTheFull,819090410701586482,2026-02,143,65,208,Sapphire
OutOnTheFull,819090410701586482,2026-03,59,29,88,Sapphire
OutOnTheFull,819090410701586482,2026-04,4,0,4,Sapphire
Nath - NEC1,829971561590030346,2025-08,6,18,24,Sapphire
Nath - NEC1,829971561590030346,2025-09,0,22,22,None
Nath - NEC1,829971561590030346,2025-10,9,15,24,Sapphire
Nath - NEC1,829971561590030346,2025-11,0,4,4,None
Nath - NEC1,829971561590030346,2025-12,11,60,71,Sapphire
Nath - NEC1,829971561590030346,2026-01,3,14,17,Sapphire
Nath - NEC1,829971561590030346,2026-02,4,13,17,Sapphire
Nath - NEC1,829971561590030346,2026-03,3,19,22,Sapphire
Nath - NEC1,829971561590030346,2026-04,0,1,1,None
CaptnCooked,846380664310857800,2025-06,166,81,247,Emerald
CaptnCooked,846380664310857800,2025-07,21,55,76,Emerald
CaptnCooked,846380664310857800,2025-09,0,1,1,None
CaptnCooked,846380664310857800,2025-11,19,19,38,Emerald
CaptnCooked,846380664310857800,2025-12,167,260,427,Emerald
CaptnCooked,846380664310857800,2026-01,208,237,445,Emerald
CaptnCooked,846380664310857800,2026-02,19,69,88,"Emerald, Helper, Ruby"
CaptnCooked,846380664310857800,2026-03,37,37,74,Ruby
CaptnCooked,846380664310857800,2026-04,37,36,73,"Helper, Ruby"
FMS Pixie | Pixie Sine,863363368777547816,2025-06,0,1,1,None
FMS Pixie | Pixie Sine,863363368777547816,2025-07,3,1,4,Sapphire
FMS Pixie | Pixie Sine,863363368777547816,2025-08,1,0,1,Sapphire
FMS Pixie | Pixie Sine,863363368777547816,2025-09,4,2,6,Sapphire
FMS Pixie | Pixie Sine,863363368777547816,2025-10,3,1,4,Sapphire
FMS Pixie | Pixie Sine,863363368777547816,2025-11,0,2,2,None
FMS Pixie | Pixie Sine,863363368777547816,2025-12,5,5,10,Emerald
FMS Pixie | Pixie Sine,863363368777547816,2026-01,2,1,3,Emerald
FMS Pixie | Pixie Sine,863363368777547816,2026-02,4,1,5,"Emerald, Ruby"
FMS Pixie | Pixie Sine,863363368777547816,2026-03,5,1,6,Ruby
Chief,868417831300108379,2025-06,261,53,314,Sapphire
Chief,868417831300108379,2025-07,465,158,623,"Emerald, Sapphire"
Chief,868417831300108379,2025-08,569,63,632,Emerald
Chief,868417831300108379,2025-09,311,16,327,"Emerald, Ruby"
Chief,868417831300108379,2025-10,66,6,72,Ruby
Chief,868417831300108379,2025-11,226,44,270,Ruby
Chief,868417831300108379,2025-12,369,55,424,"Diamond, Ruby"
Chief,868417831300108379,2026-01,209,17,226,Diamond
Chief,868417831300108379,2026-02,19,8,27,Diamond
Chief,868417831300108379,2026-03,200,114,314,Diamond
Chief,868417831300108379,2026-04,14,14,28,Diamond
Tony Brassel,868702160496500757,2025-08,57,71,128,Sapphire
Tony Brassel,868702160496500757,2025-09,101,52,153,"Emerald, Sapphire"
Tony Brassel,868702160496500757,2025-10,143,42,185,Emerald
Tony Brassel,868702160496500757,2025-11,144,79,223,Emerald
Tony Brassel,868702160496500757,2025-12,154,28,182,Emerald
Tony Brassel,868702160496500757,2026-01,3,1,4,Emerald
Tony Brassel,868702160496500757,2026-02,146,19,165,Emerald
Tony Brassel,868702160496500757,2026-03,116,20,136,"Emerald, Helper"
Tony Brassel,868702160496500757,2026-04,3,0,3,Emerald
G xxp,868710402236760086,2025-11,24,20,44,Sapphire
G xxp,868710402236760086,2025-12,32,22,54,Sapphire
G xxp,868710402236760086,2026-01,28,73,101,"Emerald, Sapphire"
G xxp,868710402236760086,2026-02,34,53,87,Emerald
G xxp,868710402236760086,2026-03,54,85,139,Emerald
G xxp,868710402236760086,2026-04,0,2,2,None
MEESE M00SE,870483514439643156,2025-09,0,1,1,None
MEESE M00SE,870483514439643156,2025-12,6,19,25,Emerald
MEESE M00SE,870483514439643156,2026-01,6,19,25,Emerald
MEESE M00SE,870483514439643156,2026-02,15,25,40,Emerald
Mass i v e,874264263684931584,2025-06,257,71,328,Elite
Mass i v e,874264263684931584,2025-07,368,35,403,Elite
Mass i v e,874264263684931584,2025-08,496,54,550,Elite
Mass i v e,874264263684931584,2025-09,283,51,334,Elite
Mass i v e,874264263684931584,2025-10,543,47,590,Elite
Mass i v e,874264263684931584,2025-11,416,71,487,Elite
Mass i v e,874264263684931584,2025-12,508,57,565,Elite
Mass i v e,874264263684931584,2026-01,558,52,610,"Elite, Helper"
Mass i v e,874264263684931584,2026-02,543,97,640,"Elite, Helper"
Mass i v e,874264263684931584,2026-03,691,86,777,Elite
white chests,881826810445324289,2025-07,61,23,84,"Guest, Sapphire"
white chests,881826810445324289,2025-08,174,45,219,"Emerald, Sapphire"
white chests,881826810445324289,2025-09,174,65,239,Emerald
white chests,881826810445324289,2025-10,132,45,177,Emerald
white chests,881826810445324289,2025-11,60,43,103,Emerald
white chests,881826810445324289,2025-12,47,43,90,"Emerald, Ruby"
white chests,881826810445324289,2026-01,47,24,71,"Diamond, Ruby"
white chests,881826810445324289,2026-02,18,17,35,Diamond
white chests,881826810445324289,2026-03,18,12,30,Diamond
white chests,881826810445324289,2026-04,8,3,11,Diamond
40k/lurked,891960118021857281,2025-08,21,32,53,Sapphire
40k/lurked,891960118021857281,2025-09,50,79,129,Sapphire
40k/lurked,891960118021857281,2025-10,137,85,222,Sapphire
40k/lurked,891960118021857281,2025-11,172,129,301,"Emerald, Sapphire"
40k/lurked,891960118021857281,2025-12,369,170,539,"Emerald, Guest"
40k/lurked,891960118021857281,2026-01,476,84,560,"Emerald, Guest"
40k/lurked,891960118021857281,2026-02,660,97,757,"Emerald, Guest, Helper, Ruby"
40k/lurked,891960118021857281,2026-03,1014,77,1091,"Guest, Helper, Racer, Ruby"
40k/lurked,891960118021857281,2026-04,143,4,147,"Guest, Helper, Ruby"
IRONWILLLY,898133782127857674,2026-03,9,39,48,"Guest, Helper, Sapphire"
IRONWILLLY,898133782127857674,2026-04,3,4,7,Sapphire
dampclock.,932180975490842674,2025-06,40,11,51,Diamond
dampclock.,932180975490842674,2025-07,57,9,66,Diamond
dampclock.,932180975490842674,2025-08,76,42,118,Diamond
dampclock.,932180975490842674,2025-09,58,24,82,"Diamond, Dragonstone"
dampclock.,932180975490842674,2025-10,55,37,92,Dragonstone
dampclock.,932180975490842674,2025-11,22,16,38,Dragonstone
dampclock.,932180975490842674,2025-12,37,22,59,Dragonstone
dampclock.,932180975490842674,2026-01,49,28,77,Dragonstone
dampclock.,932180975490842674,2026-02,21,20,41,Dragonstone
dampclock.,932180975490842674,2026-03,43,27,70,Dragonstone
dampclock.,932180975490842674,2026-04,0,1,1,None
Marz,932932720257011723,2026-03,1,0,1,Sapphire
Marz,932932720257011723,2026-04,6,0,6,Sapphire
Wreddrick,934656941093957692,2025-06,0,1,1,None
Wreddrick,934656941093957692,2025-11,17,74,91,Sapphire
Wreddrick,934656941093957692,2025-12,27,60,87,Sapphire
Flydoc623,937169558131834992,2025-10,16,4,20,Sapphire
Flydoc623,937169558131834992,2025-11,25,18,43,Sapphire
Flydoc623,937169558131834992,2025-12,18,23,41,Sapphire
Flydoc623,937169558131834992,2026-01,11,18,29,Sapphire
Flydoc623,937169558131834992,2026-03,0,7,7,None
Average Beast,939019959596630057,2025-06,63,38,101,Ruby
Average Beast,939019959596630057,2025-07,125,121,246,Ruby
Average Beast,939019959596630057,2025-08,178,173,351,"Diamond, Ruby"
Average Beast,939019959596630057,2025-09,112,99,211,Diamond
Average Beast,939019959596630057,2025-10,56,32,88,"Diamond, Proselyte"
Average Beast,939019959596630057,2025-11,79,93,172,Diamond
Average Beast,939019959596630057,2025-12,127,109,236,"Diamond, Dragonstone, Racer"
Average Beast,939019959596630057,2026-01,77,126,203,"Dragonstone, General"
Average Beast,939019959596630057,2026-02,95,138,233,"Dragonstone, Helper"
Average Beast,939019959596630057,2026-03,59,59,118,Dragonstone
Average Beast,939019959596630057,2026-04,5,7,12,Dragonstone
WestSyd / WHAT DOG,940500436006350899,2025-07,50,58,108,Diamond
WestSyd / WHAT DOG,940500436006350899,2025-08,59,22,81,Diamond
WestSyd / WHAT DOG,940500436006350899,2025-11,14,17,31,Diamond
WestSyd / WHAT DOG,940500436006350899,2025-12,2,7,9,Diamond
WestSyd / WHAT DOG,940500436006350899,2026-01,24,20,44,Diamond
WestSyd / WHAT DOG,940500436006350899,2026-02,88,65,153,Diamond
WestSyd / WHAT DOG,940500436006350899,2026-03,130,79,209,Diamond
WestSyd / WHAT DOG,940500436006350899,2026-04,25,11,36,Diamond
Twofresher,94855645236301824,2026-01,59,54,113,Sapphire
Twofresher,94855645236301824,2026-02,27,13,40,Sapphire
Twofresher,94855645236301824,2026-03,1,0,1,Sapphire
964184780851798026,964184780851798026,2025-07,385,85,470,Emerald
964184780851798026,964184780851798026,2025-08,158,44,202,"Emerald, Guest"
964184780851798026,964184780851798026,2025-09,3,0,3,Emerald
964184780851798026,964184780851798026,2025-12,22,0,22,Emerald
964184780851798026,964184780851798026,2026-02,2,1,3,Emerald
964184780851798026,964184780851798026,2026-03,10,2,12,Emerald
UIM Pronkers,968057599314505730,2026-03,82,58,140,"Helper, Sapphire"
UIM Pronkers,968057599314505730,2026-04,19,15,34,Sapphire
HotStu4U,986808375050371112,2025-06,355,34,389,Dragonstone
HotStu4U,986808375050371112,2025-07,491,84,575,Dragonstone
HotStu4U,986808375050371112,2025-08,483,57,540,Dragonstone
HotStu4U,986808375050371112,2025-09,343,79,422,Dragonstone
HotStu4U,986808375050371112,2025-10,409,28,437,Dragonstone
HotStu4U,986808375050371112,2025-11,140,22,162,Dragonstone
HotStu4U,986808375050371112,2025-12,104,4,108,Dragonstone
HotStu4U,986808375050371112,2026-01,410,45,455,Dragonstone
HotStu4U,986808375050371112,2026-02,717,68,785,"Dragonstone, Onyx"
HotStu4U,986808375050371112,2026-03,641,47,688,Onyx
HotStu4U,986808375050371112,2026-04,91,7,98,Onyx
FknAussie | bag of smoke,987684095372972053,2026-03,4,2,6,Sapphire
FknAussie | bag of smoke,987684095372972053,2026-04,0,1,1,None
EMCEEKAYE,998928528487747654,2026-03,64,13,77,Sapphire
WaffleCream,219764361789440000,2026-03,0,1,1,None
Oi Bozo,328012195042426898,2025-06,0,3,3,None
Oi Bozo,328012195042426898,2025-07,0,10,10,None
DikGobbla69 / happygamer,707547359512625173,2025-07,0,2,2,None
DikGobbla69 / happygamer,707547359512625173,2025-11,0,12,12,None
725132716382879785,725132716382879785,2025-07,0,2,2,None
725132716382879785,725132716382879785,2025-10,0,1,1,None
725132716382879785,725132716382879785,2025-11,0,8,8,None
725132716382879785,725132716382879785,2025-12,0,2,2,None
